001,CHN,China        ,71.4
002,ETH,Ethiopia     ,45.2
003,JPN,Japan        ,80.7
004,DNK,Denmark      ,76.5
005,SWE,Sweden       ,79.6
006,FRA,France       ,78.8
007,SMR,San Marino   ,81.1
008,GBR,UnitedKingdom,77.7
009,PRT,Portugal     ,75.8
010,AND,Andorra      ,83.5
011,THA,Thailand     ,68.6
012,ESP,Spain        ,78.8
013,CHE,Switzerland  ,79.6
014,NLD,Netherlands  ,78.3
015,NPL,Nepal        ,57.8
016,USA,United States,77.1
017,HTI,Haiti        ,49.2
018,LIE,Liechtenstein,78.8
019,MEX,Mexico       ,71.5
020,CHL,Chile        ,75.7
021,COL,Colombia     ,70.3
022,PRY,Paraguay     ,73.7
023,VEN,Venezuela    ,73.1
024,ARG,Argentina    ,75.1
025,CRI,Costa Rica   ,75.8
026,GTM,Guatemala    ,66.2
027,PER,Peru         ,70.0
028,BRA,Brazil       ,62.9
029,ECU,Ecuador      ,71.1
030,BOL,Bolivia      ,63.7
031,URY,Uruguay      ,75.2
032,BEL,Belgium      ,77.8
033,GRC,Greece       ,78.4
034,HND,Honduras     ,69.9
035,NIC,Nicaragua    ,68.7
036,SLV,El Salvador  ,69.7
037,DOM,Dominican Rep,73.2
038,LBR,Liberia      ,51.0
039,ITA,Italy        ,79.0
040,MCO,Monaco       ,78.8
041,LUX,Luxembourg   ,77.1
042,CAN,Canada       ,79.4
043,ROM,Romania      ,69.9
044,AUS,Australia    ,79.8
045,CUB,Cuba         ,76.2
046,PAN,Panama       ,75.5
047,NOR,Norway       ,78.7
048,IRN,Iran         ,69.7
049,NZL,New Zealand  ,77.8
050,BGR,Bulgaria     ,70.9
051,ZAF,South Africa ,51.1
052,BTN,Bhutan       ,52.4
053,ALB,Albania      ,71.6
054,FIN,Finland      ,77.4
055,YEM,Yemen        ,59.8
056,AUT,Austria      ,77.7
057,HUN,Hungary      ,71.4
058,POL,Poland       ,73.2
059,YUG,Yugoslavia   ,72.4
060,AFG,Afghanistan  ,45.9
061,MNG,Mongolia     ,67.3
062,IRL,Ireland      ,76.8
063,EGY,Egypt        ,63.3
064,TUR,Turkey       ,71.0
065,VAT,Vatican City ,00.0
066,IRQ,Iraq         ,66.5
067,SAU,Saudi Arabia ,67.8
068,LBN,Lebanon      ,71.3
069,SYR,Syria        ,68.5
070,ISL,Iceland      ,79.4
071,IDN,Indonesia    ,68.0
072,TWN,Taiwan       ,76.4
073,VNM,Vietnam      ,69.3
074,JOR,Jordan       ,77.4
075,PHL,Philippines  ,67.5
076,IND,India        ,62.5
077,PAK,Pakistan     ,61.1
078,ISR,Israel       ,78.6
079,MMR,Myanmar      ,54.9
080,PRK,North Korea  ,70.7
081,KOR,South Korea  ,74.4
082,LKA,Sri Lanka    ,71.8
083,LBY,Libyan Arab J,75.5
084,OMN,Oman         ,71.8
085,KHM,Cambodia     ,56.5
086,LAO,Laos         ,53.1
087,DEU,Germany      ,77.4
088,MAR,Morocco      ,69.1
089,SDN,Sudan        ,56.6
