Venezuela,South America,South America,24170000
Falkland Islands,South America,South America,2000
Ecuador,South America,South America,12646000
French Guiana,South America,South America,181000
Suriname,South America,South America,417000
Colombia,South America,South America,42321000
Uruguay,South America,South America,3337000
Bolivia,South America,South America,8329000
Argentina,South America,South America,37032000
Chile,South America,South America,15211000
Paraguay,South America,South America,5496000
Guyana,South America,South America,861000
Peru,South America,South America,25662000
Brazil,South America,South America,170115000
Greenland,North America,North America,56000
Canada,North America,North America,31147000
Bermuda,North America,North America,65000
St. Pierre & Miquelon,North America,North America,7000
United States,North America,North America,278357000
Belize,North America,Central America,241000
Mexico,North America,Central America,98881000
Honduras,North America,Central America,6485000
Panama,North America,Central America,2856000
Nicaragua,North America,Central America,5074000
Costa Rica,North America,Central America,4023000
Guatemala,North America,Central America,11385000
El Salvador,North America,Central America,6276000
Liechtenstein,Europe,Western Europe,32300
Luxembourg,Europe,Western Europe,435700
Switzerland,Europe,Western Europe,7160400
Austria,Europe,Western Europe,8091800
Belgium,Europe,Western Europe,10239000
France,Europe,Western Europe,59225700
Monaco,Europe,Western Europe,34000
Netherlands,Europe,Western Europe,15864000
Germany,Europe,Western Europe,82164700
Sweden,Europe,Nordic Countries,8861400
Faroe Islands,Europe,Nordic Countries,43000
Svalbard & Jan Mayen,Europe,Nordic Countries,3200
Iceland,Europe,Nordic Countries,279000
Norway,Europe,Nordic Countries,4478500
Finland,Europe,Nordic Countries,5171300
Denmark,Europe,Nordic Countries,5330000
Ireland,Europe,British Islands,3775100
United Kingdom,Europe,British Islands,59623400
Albania,Europe,Southern Europe,3401200
Andorra,Europe,Southern Europe,78000
Greece,Europe,Southern Europe,10545700
Vatican City,Europe,Southern Europe,1000
Yugoslavia,Europe,Southern Europe,10640000
Portugal,Europe,Southern Europe,9997600
Malta,Europe,Southern Europe,380200
Italy,Europe,Southern Europe,57680000
Slovenia,Europe,Southern Europe,1987800
Macedonia,Europe,Southern Europe,2024000
Croatia,Europe,Southern Europe,4473000
San Marino,Europe,Southern Europe,27000
Bosnia & Herzegovina,Europe,Southern Europe,3972000
Spain,Europe,Southern Europe,39441700
Estonia,Europe,Baltic Countries,1439200
Latvia,Europe,Baltic Countries,2424200
Lithuania,Europe,Baltic Countries,3698500
Moldova,Europe,Eastern Europe,4380000
Slovakia,Europe,Eastern Europe,5398700
Russian Federation,Europe,Eastern Europe,146934000
Bulgaria,Europe,Eastern Europe,8190900
Poland,Europe,Eastern Europe,38653600
Hungary,Europe,Eastern Europe,10043200
Belarus,Europe,Eastern Europe,10236000
Czech Republic,Europe,Eastern Europe,10278100
Romania,Europe,Eastern Europe,22455500
Ukraine,Europe,Eastern Europe,50456000
